ve_ref,token_w_punct,token,lemma,syntax,modern_english,morphology
1.t1,Hwæt!,Hwæt,hwæt,e,well,indeclinable
1.t2,Wē,Wē,we,p,we,np
1.t3,Gār-Dena,Gār-Dena,Gar-Dene,np,Spear-Danes,gp
1.t4,in,in,in,pp,in,indeclinable
1.t5,"gēardagum,",gēardagum,gear-dagas,m,days of yore,dp
2.t1,þēodcyninga,þēodcyninga,þeod-cyning,m,king of the nation,gp
2.t2,þrym,þrym,þrym,m,glory,as
2.t3,"gefrūnon,",gefrūnon,gefrignan,v,hear,p1p
3.t1,hū,hū,hu,c,how,indeclinable
3.t2,ðā,ðā,se,d,that,npm
3.t3,æþelingas,æþelingas,æþeling,m,prince,np
3.t4,ellen,ellen,ellen,n,deeds of courage,as
3.t5,fremedon.,fremedon,fremman,v,perform,p3p
4.t1,Oft,Oft,oft,av,often,indeclinable
4.t2,Scyld,Scyld,Scyld,np,Scyld,ns
4.t3,Scēfing,Scēfing,Scefing,np,Scefing,ns
4.t4,sceaþena,sceaþena,sceaða,m,enemy,gp
4.t5,"þrēatum,",þrēatum,þreat,m,troop,dp
5.t1,monegum,monegum,monig,a,many,dpf
5.t2,mǣgþum,mǣgþum,mægþ,f,people,dp
5.t3,meodosetla,meodosetla,medu-setl,m,mead-bench,gp
5.t4,"oftēah,",oftēah,ofteon,v,deprive,p3s
6.t1,egsode,egsode,egsian,v,terrify,p3s
6.t2,"eorlas,",eorlas,eorl,m,warrior,ap
6.t3,syððan,syððan,siððan,c,after,indeclinable
6.t4,ǣrest,ǣrest,ærest,av,first,indeclinable
6.t5,wearð,wearð,weorðan,v,be,p3s
7.t1,fēasceaft,fēasceaft,feasceaft,a,destitute,nsm
7.t2,funden.,funden,findan,v,find,pp
7.t3,Hē,Hē,he,p,he,nsm
7.t4,þæs,þæs,þæt,d,that,gsn
7.t5,frōfre,frōfre,frofor,f,consolation,as
7.t6,gebād:,gebād,gebidan,v,experience,p3s
8.t1,wēox,wēox,weaxan,v,grow,p3s
8.t2,under,under,under,pp,under,indeclinable
8.t3,"wolcnum,",wolcnum,wolcen,n,cloud,dp
8.t4,weorðmyndum,weorðmyndum,weorð-mynd,n,honour,dp
8.t5,"þāh,",þāh,þeon,v,prosper,p3s
9.t1,oð þæt,oð þæt,oð þæt,c,until,indeclinable
9.t2,him,him,he,p,he,dsm
9.t3,ǣghwylc,ǣghwylc,æghwylc,p,each,nsm
9.t4,þāra,þāra,se,d,the,gpm
9.t5,ymbsittendra,ymbsittendra,ymbsittend,m,neighbouring peoples,gp
10.t1,ofer,ofer,ofer,pp,across,indeclinable
10.t2,hronrāde,hronrāde,hron-rad,f,whale-road,as
10.t3,hȳran,hȳran,hyran,v,obey,i
10.t4,"scolde,",scolde,sculan,v,have to,p3s
11.t1,gomban,gomban,gombe,f,tribute,as
11.t2,gyldan.,gyldan,gyldan,v,pay,i
11.t3,Þæt,Þæt,þæt,d,that,nsn
11.t4,wæs,wæs,wesan,v,be,p3s
11.t5,gōd,gōd,god,a,good,nsm
11.t6,cyning.,cyning,cyning,m,king,ns
12.t1,Ðǣm,Ðǣm,se,d,he,dsm
12.t2,eafera,eafera,eafora,m,son,ns
12.t3,wæs,wæs,wesan,v,be,p3s
12.t4,æfter,æfter,æfter,av,(coming) after (him),indeclinable
12.t5,cenned,cenned,cennan,v,bear,pp
13.t1,geong,geong,geong,a,young,nsm
13.t2,in,in,in,pp,in,indeclinable
13.t3,"geardum,",geardum,geard,m,home,dp
13.t4,þone,þone,se,d,whom,asm
13.t5,God,God,God,np,God,ns
13.t6,sende,sende,sendan,v,send,p3s
14.t1,folce,folce,folc,n,people,ds
14.t2,tō,tō,to,pp,as,indeclinable
14.t3,frōfre;,frōfre,frofor,f,consolation,ds
14.t4,fyrenðearfe,fyrenðearfe,fyren-þearf,f,dire distress,as
14.t5,ongeat –,ongeat,ongitan,v,see,p3s
